image,pbody_number,dist_nuclei,dist_mito,nuclei_std,mito_std,medicine,group
W0022F0001T0006Z000C1N11.png,1,53.39060839292057,53.593895877435365,0.0,0.0,T6321,G4
W0022F0001T0006Z000C1N15.png,1,34.37850210577104,34.93878878731571,7.804114060509656,7.766823572137996,T6321,G4
W0022F0001T0006Z000C1N15.png,2,15.85740184874237,15.443266886174271,7.804114060509656,7.766823572137996,T6321,G4
W0022F0001T0006Z000C1N15.png,3,16.930219902801014,17.720372060036592,7.804114060509656,7.766823572137996,T6321,G4
W0022F0001T0006Z000C1N15.png,4,32.06322873768629,31.25376437529938,7.804114060509656,7.766823572137996,T6321,G4
W0022F0001T0006Z000C1N15.png,5,29.56594902556772,29.77718304712436,7.804114060509656,7.766823572137996,T6321,G4
W0022F0001T0006Z000C1N22.png,1,41.436647111400234,39.97614395215363,11.90282524679915,10.574230723359523,T6321,G4
W0022F0001T0006Z000C1N22.png,2,23.522708964062844,21.98502984285827,11.90282524679915,10.574230723359523,T6321,G4
W0022F0001T0006Z000C1N22.png,3,41.85702679664947,40.60836900567217,11.90282524679915,10.574230723359523,T6321,G4
W0022F0001T0006Z000C1N22.png,4,57.134705944466546,51.45720418496334,11.90282524679915,10.574230723359523,T6321,G4
W0022F0001T0006Z000C1N24.png,1,9.399234439856015,9.637418699073306,18.255079837462755,17.864494627133734,T6321,G4
W0022F0001T0006Z000C1N24.png,2,53.00782138493181,52.266574909359086,18.255079837462755,17.864494627133734,T6321,G4
W0022F0001T0006Z000C1N24.png,3,39.76706035613172,39.50752354850817,18.255079837462755,17.864494627133734,T6321,G4
W0022F0001T0006Z000C1N27.png,1,55.97476903567355,44.558953490354234,0.0,0.0,T6321,G4
W0022F0001T0006Z000C1N3.png,1,20.428733039747833,19.082277230753046,8.31072153874365,5.722935867996435,T6321,G4
W0022F0001T0006Z000C1N3.png,2,37.05017611723513,30.528148966745917,8.31072153874365,5.722935867996435,T6321,G4
W0022F0001T0006Z000C1N37.png,1,39.49164670557893,39.63643361277919,0.0,0.0,T6321,G4
W0022F0001T0006Z000C1N39.png,1,18.787965476296986,18.999912069701804,0.812558577360253,2.6626347079015664,T6321,G4
W0022F0001T0006Z000C1N39.png,2,20.41308263101749,13.67464265389867,0.812558577360253,2.6626347079015664,T6321,G4
W0022F0001T0006Z000C1N43.png,1,43.662730256246604,67.3793977192744,14.240672890785834,13.442663094106386,T6321,G4
W0022F0001T0006Z000C1N43.png,2,15.181384474674934,40.49407153106162,14.240672890785834,13.442663094106386,T6321,G4
W0022F0001T0006Z000C1N45.png,1,39.364888379611976,75.34418508092178,4.192407221158966,13.505255558750843,T6321,G4
W0022F0001T0006Z000C1N45.png,2,47.74970282192991,48.33367396342009,4.192407221158966,13.505255558750843,T6321,G4
W0022F0001T0006Z000C1N49.png,1,55.88084938588237,55.78649948331452,0.0,0.0,T6321,G4
W0022F0001T0006Z000C1N5.png,1,48.876696191140525,45.37313497088418,0.5314901936024476,1.5270332276456315,T6321,G4
W0022F0001T0006Z000C1N5.png,2,49.93967657834542,42.31906851559292,0.5314901936024476,1.5270332276456315,T6321,G4
W0022F0001T0006Z000C1N55.png,1,56.8143789592191,56.99290233387321,3.3588670654107173,3.255816444600497,T6321,G4
W0022F0001T0006Z000C1N55.png,2,62.66533597431038,62.50443762799268,3.3588670654107173,3.255816444600497,T6321,G4
W0022F0001T0006Z000C1N55.png,3,64.74921594261963,64.74054009847869,3.3588670654107173,3.255816444600497,T6321,G4
W0022F0001T0006Z000C1N56.png,1,59.91848659973766,58.473597530196734,0.0,0.0,T6321,G4
W0022F0001T0006Z000C1N63.png,1,64.63120590370043,65.14404763056923,0.0,0.0,T6321,G4
W0022F0001T0006Z000C1N65.png,1,48.300815589579386,48.597297268968994,1.410428613061402,1.7766729102898147,T6321,G4
W0022F0001T0006Z000C1N65.png,2,45.47995836345658,45.043951448389365,1.410428613061402,1.7766729102898147,T6321,G4
W0022F0001T0006Z000C1N66.png,1,14.494249388815378,14.271782928696197,8.568103673127744,8.602099023085918,T6321,G4
