image,pbody_number,dist_nuclei,dist_mito,nuclei_std,mito_std,medicine,group
W0041F0001T0006Z000C1N10.png,1,3.9143001530104904,3.970966691995463,1.4565985036953448,1.331826982843758,T0374L,G1
W0041F0001T0006Z000C1N10.png,2,2.8578179444922407,5.21647779876422,1.4565985036953448,1.331826982843758,T0374L,G1
W0041F0001T0006Z000C1N10.png,3,1.360949106085601,1.6209078399133172,1.4565985036953448,1.331826982843758,T0374L,G1
W0041F0001T0006Z000C1N10.png,4,1.005371856302157,0.9750000000000001,1.4565985036953448,1.331826982843758,T0374L,G1
W0041F0001T0006Z000C1N10.png,5,4.956030989245652,5.17520090698949,1.4565985036953448,1.331826982843758,T0374L,G1
W0041F0001T0006Z000C1N10.png,6,2.658532771717072,2.629584885264298,1.4565985036953448,1.331826982843758,T0374L,G1
W0041F0001T0006Z000C1N10.png,7,1.384922803567523,1.6164008587324843,1.4565985036953448,1.331826982843758,T0374L,G1
W0041F0001T0006Z000C1N10.png,8,0.4663935839419237,2.646911624108995,1.4565985036953448,1.331826982843758,T0374L,G1
W0041F0001T0006Z000C1N10.png,9,5.108809035055363,4.467601213051288,1.4565985036953448,1.331826982843758,T0374L,G1
W0041F0001T0006Z000C1N10.png,10,2.3330948220362457,2.8162848587715055,1.4565985036953448,1.331826982843758,T0374L,G1
W0041F0001T0006Z000C1N10.png,11,3.573034012702557,2.748756710366263,1.4565985036953448,1.331826982843758,T0374L,G1
W0041F0001T0006Z000C1N10.png,12,3.6195313670231766,3.6891187233068075,1.4565985036953448,1.331826982843758,T0374L,G1
W0041F0001T0006Z000C1N12.png,1,4.020036475479685,4.0296634846089985,1.0287918581433608,1.005945757322304,T0374L,G1
W0041F0001T0006Z000C1N12.png,2,5.677237787388895,5.680589029821035,1.0287918581433608,1.005945757322304,T0374L,G1
W0041F0001T0006Z000C1N12.png,3,4.809186139308417,4.803418046399025,1.0287918581433608,1.005945757322304,T0374L,G1
W0041F0001T0006Z000C1N12.png,4,3.259924707268536,3.292583651126136,1.0287918581433608,1.005945757322304,T0374L,G1
W0041F0001T0006Z000C1N12.png,5,6.3158887568313515,6.306466525017115,1.0287918581433608,1.005945757322304,T0374L,G1
W0041F0001T0006Z000C1N12.png,6,6.084618789461174,5.987974859919468,1.0287918581433608,1.005945757322304,T0374L,G1
W0041F0001T0006Z000C1N12.png,7,4.8664521492704615,4.791351074059713,1.0287918581433608,1.005945757322304,T0374L,G1
W0041F0001T0006Z000C1N15.png,1,8.124490400798608,7.984930772373738,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,2,7.894496690442755,7.734299805382326,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,3,9.025478422228373,8.975805264117922,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,4,7.426310247411077,7.417417127403371,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,5,4.9021876680361265,4.710109988067761,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,6,5.959704371249001,5.770942542211854,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,7,4.950815626717764,5.013910237437929,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,8,1.7894942305361654,1.6501728912335867,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,9,4.686241956059173,4.8148247688625725,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,10,4.956994751121423,4.8600239615305085,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,11,2.5023608576595886,2.679477540083783,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,12,3.0096634989548234,3.1099673204228493,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,13,1.7213528445106494,1.8313527243840553,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,14,4.23378355662327,4.335506856926256,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,15,4.551198148388597,4.724488859982694,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,16,5.960938292259931,6.152851828078953,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,17,6.035084188650286,6.160880645014563,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,18,7.102605554166309,7.198414189465741,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,19,5.003594392716463,5.038401857244667,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,20,2.9137724064439876,2.926753023762306,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N15.png,21,6.108234501933439,6.137161032750611,2.0071014035708292,1.9731213310205153,T0374L,G1
W0041F0001T0006Z000C1N16.png,1,0.9060313856504677,3.6664650935863086,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,2,1.8500914203808634,1.938747091890548,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,3,0.7877017245090406,2.5440752997744775,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,4,1.1830178570080843,4.064440180236902,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,5,2.82044018062784,2.458308126884361,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,6,2.6337937329780994,1.8058896525414725,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,7,3.3667317702038573,5.082885182507016,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,8,1.956759119053748,3.540284596038591,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,9,2.2472639614651415,1.9731117416888844,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,10,0.978379559526874,2.949865769949684,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,11,2.470362910425448,1.8942833611053278,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,12,1.0945619536660482,2.4563598043340154,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,13,2.056667312967265,2.364370988992586,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,14,3.2255329017078713,4.8003908011658565,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,15,6.006489337159791,7.684439077080263,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N16.png,16,1.4884530863543466,12.059246927756249,1.2667814615228379,2.6036975101088378,T0374L,G1
W0041F0001T0006Z000C1N17.png,1,2.955478776246367,2.8761845756166466,2.713868339331575,2.6977789066197713,T0374L,G1
W0041F0001T0006Z000C1N17.png,2,2.2588231806120955,2.1167639869042643,2.713868339331575,2.6977789066197713,T0374L,G1
W0041F0001T0006Z000C1N17.png,3,1.1604472907206158,0.9605485761876393,2.713868339331575,2.6977789066197713,T0374L,G1
W0041F0001T0006Z000C1N17.png,4,4.050141619775274,4.985266920146233,2.713868339331575,2.6977789066197713,T0374L,G1
W0041F0001T0006Z000C1N17.png,5,1.985825769288279,1.9997634461206002,2.713868339331575,2.6977789066197713,T0374L,G1
W0041F0001T0006Z000C1N17.png,6,7.570614672685599,8.21841419715498,2.713868339331575,2.6977789066197713,T0374L,G1
W0041F0001T0006Z000C1N17.png,7,2.036119163998021,3.495177763084888,2.713868339331575,2.6977789066197713,T0374L,G1
W0041F0001T0006Z000C1N17.png,8,2.6165392757076793,4.303503982007999,2.713868339331575,2.6977789066197713,T0374L,G1
W0041F0001T0006Z000C1N17.png,9,7.310195406580108,7.323544476034982,2.713868339331575,2.6977789066197713,T0374L,G1
