image,pbody_id,distance_to_nucleus_um,distance_to_mitochondria_um
W0017F0002T0006Z000C1N9.png,1,0.0,39.0
W0017F0002T0006Z000C1N9.png,2,27.294688127912362,40.45985664828782
W0017F0002T0006Z000C1N9.png,3,18.0,41.048751503547585
W0017F0002T0006Z000C1N9.png,4,16.278820596099706,41.048751503547585
W0017F0002T0006Z000C1N9.png,5,22.360679774997898,26.1725046566048
W0017F0002T0006Z000C1N9.png,6,14.035668847618199,15.033296378372908
W0017F0002T0006Z000C1N9.png,7,0.41685110635065353,0.6905510988319112
W0017F0002T0006Z000C1N9.png,8,26.40075756488817,26.40075756488817
W0017F0002T0006Z000C1N9.png,9,11.045361017187261,15.811388300841896
W0017F0002T0006Z000C1N9.png,10,13.92838827718412,21.095023109728988
W0017F0002T0006Z000C1N9.png,11,0.0,8.54400374531753
W0017F0002T0006Z000C1N9.png,12,26.248809496813376,40.311288741492746
W0017F0002T0006Z000C1N9.png,13,18.439088914585774,28.319604517012593
W0017F0002T0006Z000C1N9.png,14,14.035668847618199,38.01315561749642
W0017F0003T0006Z000C1N22.png,1,0.5334744234104871,0.5334744234104871
W0017F0003T0006Z000C1N22.png,2,2.0,4.123105625617661
W0017F0003T0006Z000C1N22.png,3,1.9532222226947582,2.5552617802319917
W0017F0003T0006Z000C1N22.png,4,0.0,1.0
W0017F0003T0006Z000C1N22.png,5,0.0,2.0
W0017F0003T0006Z000C1N22.png,6,0.5133230240317036,0.5133230240317036
W0017F0003T0006Z000C1N22.png,7,3.393728988841642,10.07711097887055
W0017F0003T0006Z000C1N22.png,8,0.0,2.23606797749979
W0017F0003T0006Z000C1N22.png,9,0.4852391819627835,4.562280617425122
W0017F0003T0006Z000C1N22.png,10,0.5429406786186401,0.5429406786186401
W0017F0003T0006Z000C1N22.png,11,5.0990195135927845,7.615773105863909
W0017F0003T0006Z000C1N22.png,12,8.139410298049853,11.412712210513327
W0017F0003T0006Z000C1N22.png,13,0.0,2.0
W0017F0003T0006Z000C1N22.png,14,2.1213203435596424,3.5355339059327378
W0017F0003T0006Z000C1N22.png,15,0.15544537724269075,1.149480805602678
W0017F0003T0006Z000C1N22.png,16,0.40643918400875917,0.40643918400875917
W0017F0003T0006Z000C1N22.png,17,0.0,1.0
W0017F0003T0006Z000C1N22.png,18,4.242640687119285,5.385164807134504
W0017F0003T0006Z000C1N22.png,19,0.636388227024708,0.6480087565997728
W0017F0003T0006Z000C1N22.png,20,0.0,1.0
W0017F0003T0006Z000C1N22.png,21,0.3880191269338882,0.617517670707295
W0017F0003T0006Z000C1N22.png,22,0.5952380952380942,2.865562989565147
W0017F0003T0006Z000C1N22.png,23,0.0,1.0
W0017F0003T0006Z000C1N22.png,24,0.0,1.0
W0017F0003T0006Z000C1N22.png,25,1.0,2.23606797749979
W0017F0003T0006Z000C1N22.png,26,0.0,1.0
W0017F0003T0006Z000C1N22.png,27,4.0,5.830951894845301
W0017F0003T0006Z000C1N22.png,28,2.0,4.0
W0017F0003T0006Z000C1N22.png,29,0.3333333333333286,1.0540925533894583
W0017F0003T0006Z000C1N22.png,30,0.26205503144602044,1.4951051823108836
W0017F0003T0006Z000C1N22.png,31,0.2566315190327419,3.1786153566636006
W0017F0003T0006Z000C1N22.png,32,0.0,0.0
W0017F0003T0006Z000C1N22.png,33,0.37267799624996284,0.37267799624996284
W0017F0003T0006Z000C1N22.png,34,0.49731741730537266,0.6478722147605539
W0017F0003T0006Z000C1N22.png,35,1.0597532368796627,2.382629445995133
W0017F0003T0006Z000C1N22.png,36,1.0,3.1622776601683795
W0017F0003T0006Z000C1N22.png,37,0.0,0.0
W0017F0003T0006Z000C1N22.png,38,1.0,3.0
W0017F0003T0006Z000C1N22.png,39,0.47140452079102496,0.745355992499932
W0017F0003T0006Z000C1N22.png,40,0.16171655456515382,0.16171655456515382
W0017F0003T0006Z000C1N22.png,41,0.0,1.0
W0017F0003T0006Z000C1N22.png,42,1.0,2.0
W0017F0003T0006Z000C1N22.png,43,0.0,1.0
W0017F0003T0006Z000C1N22.png,44,0.0,0.0
W0017F0003T0006Z000C1N22.png,45,0.0,0.0
W0017F0003T0006Z000C1N22.png,46,0.0,1.0
W0017F0003T0006Z000C1N22.png,47,0.6009252125773289,0.6009252125773289
W0017F0003T0006Z000C1N22.png,48,0.3535533905932738,0.7905694150420949
W0017F0003T0006Z000C1N22.png,49,0.0,1.0
W0017F0003T0006Z000C1N22.png,50,0.0,1.4142135623730951
W0017F0003T0006Z000C1N22.png,51,0.0,1.0
W0017F0003T0006Z000C1N22.png,52,0.3910066615566342,1.165610366397839
W0017F0003T0006Z000C1N22.png,53,0.0,1.0
W0017F0003T0006Z000C1N22.png,54,0.0,0.0
W0017F0003T0006Z000C1N22.png,55,0.0,1.0
W0017F0003T0006Z000C1N22.png,56,0.5172220858747455,1.4752165716480112
W0017F0003T0006Z000C1N22.png,57,0.0,2.23606797749979
W0017F0003T0006Z000C1N22.png,58,0.0,1.4142135623730951
W0017F0003T0006Z000C1N22.png,59,0.0,0.0
W0017F0003T0006Z000C1N22.png,60,0.3577129853411252,0.3577129853411252
W0017F0003T0006Z000C1N22.png,61,0.0,0.0
W0017F0003T0006Z000C1N22.png,62,0.0,1.0
W0017F0003T0006Z000C1N22.png,63,0.5,1.8027756377319946
W0017F0003T0006Z000C1N22.png,64,1.4142135623730951,5.0990195135927845
W0017F0003T0006Z000C1N22.png,65,0.2357022603955175,0.8498365855988007
W0017F0003T0006Z000C1N22.png,66,0.0,2.8284271247461903
