image,pbody_number,dist_nuclei,dist_mito,nuclei_std,mito_std,medicine,group
W0045F0001T0006Z000C1N10.png,1,24.753902590150354,24.822451675733923,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,2,17.88980766902648,17.96892370054668,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,3,67.49912688695386,67.48125030033654,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,4,54.72710076197744,42.53756707082614,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,5,84.30221723416442,84.24215690083643,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,6,78.70378479943501,78.6358359633487,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,7,8.301996658181288,8.222998362831017,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,8,1.79944328789596,2.6379326109074888,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,9,87.8056285153497,87.72840145130877,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,10,51.370540419117994,50.60293861751265,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,11,13.258852355491392,9.858598077610473,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,12,86.69186099682173,86.60764769624468,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,13,40.98470696535194,40.154696526018256,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,14,19.49424066342352,18.724832822687425,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,15,14.86338908952343,13.963871971508835,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,16,14.812397516908009,14.56504217406307,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N10.png,17,15.45383202353255,11.341894711289743,29.920283193978285,30.078174090945456,T6758,G5
W0045F0001T0006Z000C1N11.png,1,41.486015106798455,54.72855313720279,14.264083421252655,16.423536304289907,T6758,G5
W0045F0001T0006Z000C1N11.png,2,72.20001139142313,61.84490028333283,14.264083421252655,16.423536304289907,T6758,G5
