group,image,mean_dist_nucleus,mean_dist_mito,n_pbody
G5,W0035F0001T0006Z000C1N10.png,0.14094679756414752,0.14094679756414752,200
G5,W0035F0001T0006Z000C1N11.png,0.8133801883412349,0.8133801883412349,845
G5,W0035F0001T0006Z000C1N13.png,0.31094027339138963,0.31094027339138963,408
G5,W0035F0001T0006Z000C1N16.png,0.7085497890215208,0.7085497890215208,620
G5,W0035F0001T0006Z000C1N18.png,0.7870767758765632,0.7870767758765632,917
G5,W0035F0001T0006Z000C1N19.png,0.11196584072867341,0.11196584072867341,153
G5,W0035F0001T0006Z000C1N21.png,0.08064218889833223,0.08064218889833223,224
G5,W0035F0001T0006Z000C1N23.png,0.10361344351027746,0.10361344351027746,263
G5,W0035F0001T0006Z000C1N26.png,0.1391975716001864,0.1391975716001864,536
G5,W0035F0001T0006Z000C1N28.png,0.9096158195823508,0.9096158195823508,443
G5,W0035F0001T0006Z000C1N29.png,0.9387610117078419,0.9387610117078419,665
G5,W0035F0002T0006Z000C1N15.png,0.2496390000623926,0.2496390000623926,265
G5,W0035F0002T0006Z000C1N19.png,0.09972057871292322,0.09972057871292322,359
G5,W0035F0002T0006Z000C1N21.png,0.09040670493181595,0.09040670493181595,291
G5,W0035F0002T0006Z000C1N22.png,0.4517479946078956,0.4517479946078956,841
G5,W0035F0002T0006Z000C1N23.png,0.332034621185556,0.332034621185556,902
G5,W0035F0002T0006Z000C1N24.png,0.5839751349113037,0.5839751349113037,729
G5,W0035F0002T0006Z000C1N26.png,0.06051493170203552,0.06051493170203552,354
G5,W0035F0002T0006Z000C1N27.png,0.034350019097144226,0.034350019097144226,698
G5,W0035F0002T0006Z000C1N28.png,0.06072032006576266,0.06072032006576266,310
G5,W0035F0002T0006Z000C1N36.png,0.08665455028432183,0.08665455028432183,235
G5,W0035F0002T0006Z000C1N38.png,0.14675875472632782,0.14675875472632782,161
G5,W0035F0002T0006Z000C1N39.png,0.11162523627079511,0.11162523627079511,180
G5,W0035F0002T0006Z000C1N49.png,0.14094341441118213,0.14094341441118213,181
G5,W0035F0002T0006Z000C1N5.png,0.06436534654127307,0.06436534654127307,282
G5,W0035F0002T0006Z000C1N50.png,0.12587058389364025,0.12587058389364025,238
G5,W0035F0002T0006Z000C1N65.png,0.13774461385967068,0.13774461385967068,302
G5,W0035F0002T0006Z000C1N77.png,0.1338445378028583,0.1338445378028583,251
G5,W0035F0002T0006Z000C1N78.png,0.5857776175505702,0.5907959147468189,53
G5,W0035F0002T0006Z000C1N79.png,0.40499925832413847,0.40499925832413847,841
G5,W0035F0002T0006Z000C1N8.png,0.4926535253541956,0.4926535253541956,531
G5,W0035F0002T0006Z000C1N80.png,0.6814276941254097,0.6814276941254097,734
G5,W0035F0002T0006Z000C1N83.png,0.616304043232065,0.616304043232065,746
G5,W0035F0002T0006Z000C1N85.png,0.14391208954726956,0.14391208954726956,349
G5,W0035F0002T0006Z000C1N94.png,0.2893391256357599,0.2893391256357599,342
G5,W0035F0002T0006Z000C1N95.png,0.07540878113963438,0.07540878113963438,550
G5,W0035F0003T0006Z000C1N12.png,0.5851468266989308,0.5851468266989308,460
G5,W0035F0003T0006Z000C1N13.png,0.482736306092403,0.482736306092403,678
G5,W0035F0003T0006Z000C1N18.png,0.15934811682178718,0.15934811682178718,189
G5,W0035F0003T0006Z000C1N19.png,0.04199001585493351,0.04199001585493351,158
G5,W0035F0003T0006Z000C1N21.png,0.7009974956312008,0.7009974956312008,108
G5,W0035F0003T0006Z000C1N24.png,0.7493166881643638,0.7493166881643638,497
G5,W0035F0003T0006Z000C1N25.png,0.12022406611713038,0.12022406611713038,218
G5,W0035F0003T0006Z000C1N27.png,0.4633060707648759,0.4633060707648759,701
G5,W0035F0003T0006Z000C1N28.png,0.544909024519103,0.544909024519103,457
G5,W0035F0003T0006Z000C1N30.png,0.11330743954474914,0.11330743954474914,243
G5,W0035F0003T0006Z000C1N32.png,0.04958212227348408,0.04958212227348408,170
G5,W0035F0003T0006Z000C1N33.png,0.06828500731679374,0.06828500731679374,168
G5,W0035F0003T0006Z000C1N38.png,0.07131204715779735,0.07131204715779735,306
G5,W0035F0003T0006Z000C1N44.png,0.11318822237922074,0.11318822237922074,341
G5,W0035F0003T0006Z000C1N45.png,0.1210585818961417,0.1210585818961417,237
G5,W0035F0003T0006Z000C1N49.png,0.28264161612489436,0.28264161612489436,434
G5,W0035F0003T0006Z000C1N50.png,0.11528644662439498,0.11528644662439498,153
G5,W0035F0003T0006Z000C1N53.png,0.15116645457997535,0.15116645457997535,318
G5,W0035F0003T0006Z000C1N58.png,0.6267032260359346,0.6267032260359346,673
G5,W0035F0003T0006Z000C1N61.png,0.15541403803787088,0.15541403803787088,458
G5,W0035F0003T0006Z000C1N9.png,0.08877085013807423,0.08877085013807423,135
G5,W0075F0001T0006Z000C1N11.png,0.34942246153961154,0.34942246153961154,16
G5,W0075F0001T0006Z000C1N13.png,0.1819993279624826,0.1819993279624826,72
G5,W0075F0001T0006Z000C1N14.png,0.03884167933968053,0.03884167933968053,41
G5,W0075F0001T0006Z000C1N17.png,0.04371660237153855,0.04371660237153855,37
G5,W0075F0001T0006Z000C1N18.png,0.2558021568278361,0.2558021568278361,103
G5,W0075F0001T0006Z000C1N19.png,0.04074402124329289,0.04074402124329289,12
G5,W0075F0001T0006Z000C1N22.png,0.06490332198023573,0.06490332198023573,22
G5,W0075F0001T0006Z000C1N29.png,0.04926142056559332,0.04926142056559332,18
G5,W0075F0001T0006Z000C1N32.png,0.25306864734106055,0.25306864734106055,51
G5,W0075F0001T0006Z000C1N33.png,0.2535325908568954,0.7743076191761709,18
G5,W0075F0001T0006Z000C1N36.png,0.04679131386246862,0.04679131386246862,62
G5,W0075F0001T0006Z000C1N37.png,0.2629047002308961,0.36408013761445723,21
G5,W0075F0001T0006Z000C1N38.png,0.06593342898821768,0.06593342898821768,24
G5,W0075F0001T0006Z000C1N39.png,0.12399498093716287,0.12670051678686706,39
G5,W0075F0001T0006Z000C1N4.png,0.04324807798712534,0.04905164941569678,28
G5,W0075F0001T0006Z000C1N45.png,0.036437422913566914,0.036437422913566914,22
G5,W0075F0001T0006Z000C1N48.png,0.06228665528842437,0.06228665528842437,73
G5,W0075F0001T0006Z000C1N5.png,0.034106481817365836,0.034106481817365836,32
G5,W0075F0001T0006Z000C1N7.png,0.29983638972052945,0.29983638972052945,37
G5,W0075F0002T0006Z000C1N16.png,0.11024402295836011,0.1463551340694712,9
G5,W0075F0002T0006Z000C1N17.png,0.051273441068906224,0.051273441068906224,69
G5,W0075F0002T0006Z000C1N19.png,0.14915952984597294,0.14915952984597294,22
G5,W0075F0002T0006Z000C1N2.png,0.036876562862945515,0.036876562862945515,24
G5,W0075F0002T0006Z000C1N21.png,0.021424705192920106,0.021424705192920106,62
G5,W0075F0002T0006Z000C1N23.png,0.20422927647031996,0.20422927647031996,38
G5,W0075F0002T0006Z000C1N29.png,0.05163049534781316,0.05163049534781316,7
G5,W0075F0002T0006Z000C1N36.png,0.12418863480730717,0.12418863480730717,55
G5,W0075F0002T0006Z000C1N37.png,0.16943961573822183,0.16943961573822183,46
G5,W0075F0002T0006Z000C1N41.png,0.25577888983029834,0.49387844397850766,28
G5,W0075F0002T0006Z000C1N44.png,0.11857239379313284,0.11857239379313284,32
G5,W0075F0002T0006Z000C1N5.png,0.02291709605352226,0.02291709605352226,10
G5,W0075F0002T0006Z000C1N9.png,0.16391540707069463,0.16391540707069463,104
G5,W0075F0003T0006Z000C1N17.png,0.2243532099935347,0.2243532099935347,42
G5,W0075F0003T0006Z000C1N28.png,0.323795876473482,0.36752346319156726,29
G5,W0075F0003T0006Z000C1N29.png,0.03708099697772193,0.03708099697772193,11
G5,W0075F0003T0006Z000C1N35.png,0.1124857382103507,0.1124857382103507,11
G5,W0075F0003T0006Z000C1N39.png,0.11156275863332195,0.1184092944014356,37
G5,W0075F0003T0006Z000C1N53.png,0.3597356430205446,0.8517033124160299,19
G5,W0075F0003T0006Z000C1N56.png,0.2073516355137794,0.2073516355137794,41
G5,W0075F0003T0006Z000C1N57.png,0.03286502181372016,0.03286502181372016,624
G5,W0075F0003T0006Z000C1N63.png,0.04852786114162187,0.04852786114162187,29
G5,W0075F0003T0006Z000C1N65.png,0.08525153990887933,0.08525153990887933,70
G5,W0075F0003T0006Z000C1N66.png,0.87468189586175,0.8795151060159359,61
G5,W0075F0003T0006Z000C1N70.png,0.1837262297567083,0.1864868791299222,97
G5,W0075F0003T0006Z000C1N72.png,0.04651498670080877,0.04651498670080877,58
G5,W0075F0003T0006Z000C1N75.png,0.3836533208729344,1.1533100484879117,19
G5,W0075F0003T0006Z000C1N9.png,0.07630131652755487,0.07630131652755487,66
