group,image,pbody_id,distance_to_nucleus_um,distance_to_mitochondria_um
G1,W0056F0003T0006Z000C1N90.png,6,7.015903390913034,
G1,W0056F0003T0006Z000C1N43.png,1,2.948916114439338,3.72561152698453
G1,W0056F0003T0006Z000C1N43.png,2,0.02672205859135234,0.02672205859135234
G1,W0056F0003T0006Z000C1N43.png,3,2.74872276882584,2.74872276882584
G1,W0056F0003T0006Z000C1N43.png,4,1.7985454192207657,1.7985454192207657
G1,W0056F0003T0006Z000C1N43.png,5,0.3216709844269799,0.3216709844269799
G1,W0056F0003T0006Z000C1N43.png,6,3.739069718674836,3.739069718674836
G1,W0056F0003T0006Z000C1N43.png,7,5.295206558766144,5.295206558766144
G1,W0056F0003T0006Z000C1N43.png,8,6.726383428542992,6.967172629154846
G1,W0056F0003T0006Z000C1N43.png,9,5.594616956404511,5.795995324839001
G1,W0056F0003T0006Z000C1N43.png,10,0.08125,0.08125
G1,W0056F0003T0006Z000C1N43.png,11,0.07642695622384689,0.07642695622384689
G1,W0056F0003T0006Z000C1N43.png,12,6.169441594869383,6.2662387569879305
G1,W0056F0003T0006Z000C1N43.png,13,9.16109353310085,9.268269645528349
G1,W0056F0003T0006Z000C1N43.png,14,7.078313206079835,7.078313206079835
G1,W0056F0003T0006Z000C1N81.png,1,3.3674081859235603,15.490539968497709
G1,W0056F0003T0006Z000C1N81.png,2,0.04466697761085797,0.04466697761085797
G1,W0056F0003T0006Z000C1N81.png,3,3.0077655045647798,11.521475664697403
G1,W0056F0003T0006Z000C1N81.png,4,4.634461073084337,12.445626020498153
G1,W0056F0003T0006Z000C1N40.png,1,11.099661497161186,11.099661497161186
G1,W0056F0003T0006Z000C1N40.png,2,11.048207575213274,11.048207575213274
G1,W0056F0003T0006Z000C1N40.png,3,11.321969032529003,11.321969032529003
G1,W0056F0003T0006Z000C1N40.png,4,8.788531233943473,8.788531233943473
G1,W0056F0003T0006Z000C1N40.png,5,10.096445825043444,10.096445825043444
G1,W0056F0003T0006Z000C1N40.png,6,13.71609740870194,13.71609740870194
G1,W0056F0003T0006Z000C1N40.png,7,5.479965035216017,5.479965035216017
G1,W0056F0003T0006Z000C1N40.png,8,12.783390713148057,12.783390713148057
G1,W0056F0003T0006Z000C1N40.png,9,11.996377596521512,14.255473459395544
G1,W0056F0003T0006Z000C1N40.png,10,0.19612068965517312,0.19612068965517312
G1,W0056F0003T0006Z000C1N40.png,11,5.707826381988194,11.101058128203094
G1,W0056F0003T0006Z000C1N40.png,12,4.651589110185894,11.430809518577412
G1,W0056F0003T0006Z000C1N41.png,1,28.07532062990951,
G1,W0056F0003T0006Z000C1N41.png,2,18.884105263605434,
G1,W0056F0003T0006Z000C1N41.png,3,16.493950121938653,
G1,W0056F0003T0006Z000C1N41.png,4,15.016080980905771,
G1,W0056F0003T0006Z000C1N41.png,5,19.384516531808483,
G1,W0056F0003T0006Z000C1N41.png,6,18.252213222491406,
G1,W0056F0003T0006Z000C1N41.png,7,20.124121802461655,
G1,W0056F0003T0006Z000C1N41.png,8,18.673041375994448,
G1,W0056F0003T0006Z000C1N41.png,9,9.185155692462954,
G1,W0056F0003T0006Z000C1N41.png,10,23.038176065470356,
G1,W0056F0003T0006Z000C1N41.png,11,10.841586599755592,
G1,W0056F0003T0006Z000C1N32.png,1,0.05286282530893759,0.05286282530893759
