group,image,pbody_id,distance_to_nucleus_um,distance_to_mitochondria_um
G0,W0082F0002T0006Z000C1N7.png,1,3.0648352456385264,3.225553785904881
G0,W0082F0002T0006Z000C1N7.png,2,2.361846801234153,2.361846801234153
G0,W0082F0002T0006Z000C1N7.png,3,1.5963092197315656,1.5963092197315656
G0,W0082F0002T0006Z000C1N7.png,4,3.345690059660136,3.623548027643898
G0,W0082F0002T0006Z000C1N7.png,5,1.13826284356385,1.13826284356385
G0,W0082F0002T0006Z000C1N7.png,6,1.2112034878123854,1.9716964283468064
G0,W0082F0002T0006Z000C1N7.png,7,4.177933148175662,4.511892315384422
G0,W0082F0002T0006Z000C1N7.png,8,2.0097327929919224,3.056340751152945
G0,W0082F0002T0006Z000C1N7.png,9,1.3101168840985142,1.3788582233137676
G0,W0082F0002T0006Z000C1N7.png,10,2.90929197218357,3.595795134189214
G0,W0082F0002T0006Z000C1N7.png,11,1.3400093283257397,2.459071216943503
G0,W0082F0002T0006Z000C1N7.png,12,1.2375631297028853,1.3101168840985142
G0,W0082F0002T0006Z000C1N7.png,13,0.0,0.0
G0,W0082F0002T0006Z000C1N7.png,14,1.7766181554606777,1.9280832147011966
G0,W0082F0002T0006Z000C1N7.png,15,0.05190872090624571,0.05190872090624571
G0,W0082F0002T0006Z000C1N7.png,16,0.29295104113144915,0.29295104113144915
G0,W0082F0002T0006Z000C1N7.png,17,0.04773214260869038,0.04773214260869038
G0,W0082F0002T0006Z000C1N7.png,18,0.33530242788271686,0.33530242788271686
G0,W0082F0002T0006Z000C1N7.png,19,0.772516181060305,0.9777045821719347
G0,W0082F0002T0006Z000C1N7.png,20,1.1648982132453554,1.6308574985434987
G0,W0082F0002T0006Z000C1N7.png,21,0.08125,0.08125
G0,W0082F0002T0006Z000C1N7.png,22,0.08125,0.08125
G0,W0082F0002T0006Z000C1N7.png,23,0.0,0.0
G0,W0082F0002T0006Z000C1N7.png,24,1.0562500000000001,1.6671106179555095
G0,W0082F0002T0006Z000C1N7.png,25,0.08125,0.08125
G0,W0082F0003T0006Z000C1N62.png,1,0.4799178893889612,0.4799178893889612
G0,W0082F0003T0006Z000C1N62.png,2,0.08125,0.08125
G0,W0082F0003T0006Z000C1N62.png,3,0.05745242597140699,0.05745242597140699
G0,W0082F0003T0006Z000C1N62.png,4,0.0,0.0
G0,W0082F0003T0006Z000C1N62.png,5,0.06565991539589347,0.06565991539589347
G0,W0082F0003T0006Z000C1N62.png,6,0.060476237864639515,0.060476237864639515
G0,W0082F0003T0006Z000C1N62.png,7,0.08125,0.08125
G0,W0082F0003T0006Z000C1N62.png,8,1.1385983708050877,1.1385983708050877
G0,W0082F0003T0006Z000C1N62.png,9,0.10041560611205148,0.10041560611205148
G0,W0082F0003T0006Z000C1N62.png,10,0.0,0.0
G0,W0082F0003T0006Z000C1N62.png,11,0.08125,0.08125
