group,image,mean_dist_nucleus,mean_dist_mito,n_pbody
G4,W0014F0001T0006Z000C1N10.png,0.384008679926526,0.384008679926526,56
G4,W0014F0001T0006Z000C1N11.png,0.18668449051289385,0.18668449051289385,177
G4,W0014F0001T0006Z000C1N13.png,0.34657993649865604,0.34657993649865604,162
G4,W0014F0001T0006Z000C1N15.png,0.8616544099827559,0.8803717497251681,47
G4,W0014F0001T0006Z000C1N21.png,0.49604397516896015,0.49785424995429095,58
G4,W0014F0001T0006Z000C1N28.png,4.4032263661384246,4.409966529069706,17
G4,W0014F0001T0006Z000C1N30.png,0.7465500418989623,0.7473073230630702,71
G4,W0014F0001T0006Z000C1N34.png,0.4977604566002411,0.49963397775662893,63
G4,W0014F0001T0006Z000C1N37.png,2.144158947172409,2.6023539976776053,25
G4,W0014F0001T0006Z000C1N38.png,0.5883106971464688,0.5883106971464688,49
G4,W0014F0001T0006Z000C1N41.png,1.1051977743085413,1.1056264199199324,61
G4,W0014F0001T0006Z000C1N43.png,0.8823349284555814,0.893752129868949,33
G4,W0014F0001T0006Z000C1N44.png,2.746968800102022,3.215088965513499,17
G4,W0014F0001T0006Z000C1N45.png,2.745749474338511,2.8853191899944486,18
G4,W0014F0001T0006Z000C1N47.png,5.215392484562205,12.889739480097555,13
G4,W0014F0001T0006Z000C1N48.png,0.47765027779361136,0.47765027779361136,61
G4,W0014F0001T0006Z000C1N5.png,0.8141469628240923,0.8149442887904791,30
G4,W0014F0001T0006Z000C1N50.png,0.3243500301343199,0.3412353515378619,22
G4,W0014F0001T0006Z000C1N52.png,0.183419015501242,0.183419015501242,104
G4,W0014F0001T0006Z000C1N54.png,2.0531173529986035,2.078276102871424,24
G4,W0014F0001T0006Z000C1N61.png,0.37023393545503336,0.37023393545503336,61
G4,W0014F0001T0006Z000C1N62.png,1.979169833815058,2.5058640074133143,29
G4,W0014F0001T0006Z000C1N63.png,1.6205488655081157,1.778772984771496,30
G4,W0014F0001T0006Z000C1N64.png,1.7037961849868397,1.8688888444516154,25
G4,W0014F0001T0006Z000C1N78.png,4.752167752193659,5.796455662701319,14
G4,W0014F0001T0006Z000C1N9.png,0.8186785428560613,0.8186785428560613,42
G4,W0014F0001T0006Z000C1N90.png,0.9023075221696271,0.9023075221696271,36
G4,W0014F0002T0006Z000C1N14.png,0.4496681874749707,0.4496681874749707,30
G4,W0014F0002T0006Z000C1N17.png,4.529924266777259,5.256186617448731,10
G4,W0014F0002T0006Z000C1N26.png,1.246880318681667,1.246880318681667,27
G4,W0014F0002T0006Z000C1N3.png,0.4148634903936958,0.4148634903936958,37
G4,W0014F0002T0006Z000C1N5.png,0.14195826722712035,0.14195826722712035,90
G4,W0014F0002T0006Z000C1N7.png,0.8888316383408035,1.0820431918996514,15
G4,W0014F0003T0006Z000C1N13.png,0.23663727224955858,0.23663727224955858,61
G4,W0014F0003T0006Z000C1N22.png,0.14013724400338107,0.14013724400338107,95
G4,W0014F0003T0006Z000C1N25.png,0.574761252807653,0.574761252807653,166
G4,W0014F0003T0006Z000C1N27.png,0.3847181058716426,0.3847181058716426,86
G4,W0014F0003T0006Z000C1N31.png,0.6270103439370572,0.6270103439370572,345
G4,W0014F0003T0006Z000C1N35.png,0.9637359939652709,0.9637359939652709,26
G4,W0014F0003T0006Z000C1N36.png,2.81150205952838,2.81150205952838,17
G4,W0014F0003T0006Z000C1N38.png,1.935907853076879,1.935907853076879,12
G4,W0014F0003T0006Z000C1N39.png,1.2640741635047479,1.2640741635047479,35
G4,W0014F0003T0006Z000C1N4.png,0.24804831741716635,0.24804831741716635,63
G4,W0014F0003T0006Z000C1N43.png,4.515538953265529,4.515538953265529,15
G4,W0014F0003T0006Z000C1N5.png,0.19003223054263618,0.19003223054263618,75
G4,W0015F0001T0006Z000C1N10.png,0.30137291622236106,0.30137291622236106,80
G4,W0015F0001T0006Z000C1N100.png,1.3873836414505893,1.415878948854377,42
G4,W0015F0001T0006Z000C1N101.png,1.432502541412269,1.4348404743259708,24
G4,W0015F0001T0006Z000C1N105.png,0.9122029394203393,0.9159136863920375,26
G4,W0015F0001T0006Z000C1N107.png,0.30230381933070016,0.30230381933070016,71
G4,W0015F0001T0006Z000C1N115.png,0.35096137787784554,0.35096137787784554,54
G4,W0015F0001T0006Z000C1N116.png,0.22292501357704883,0.22292501357704883,85
G4,W0015F0001T0006Z000C1N122.png,0.8025830080923277,0.8025830080923277,50
G4,W0015F0001T0006Z000C1N123.png,1.0639362328053061,1.0778978528246053,27
G4,W0015F0001T0006Z000C1N126.png,1.3411055453456875,1.3411055453456875,26
G4,W0015F0001T0006Z000C1N13.png,0.9871024653498042,0.9871024653498042,62
G4,W0015F0001T0006Z000C1N141.png,9.512314556937062,,15
G4,W0015F0001T0006Z000C1N143.png,1.4423591128940647,1.4423591128940647,23
G4,W0015F0001T0006Z000C1N147.png,0.6461392173612021,0.6461392173612021,40
G4,W0015F0001T0006Z000C1N154.png,6.881340840638005,,10
G4,W0015F0001T0006Z000C1N156.png,1.9424157098012602,1.946364113634026,39
G4,W0015F0001T0006Z000C1N160.png,0.7385383589661533,0.7385383589661533,25
G4,W0015F0001T0006Z000C1N162.png,0.2546898255364181,0.2546898255364181,101
G4,W0015F0001T0006Z000C1N165.png,6.396440014129154,13.63378136843805,24
G4,W0015F0001T0006Z000C1N169.png,0.40663061715152593,0.40663061715152593,43
G4,W0015F0001T0006Z000C1N17.png,1.2980604896322425,1.2997900413162349,55
G4,W0015F0001T0006Z000C1N170.png,1.2105632121577694,1.2105632121577694,30
G4,W0015F0001T0006Z000C1N171.png,0.6131271121593468,0.6131271121593468,60
G4,W0015F0001T0006Z000C1N173.png,0.663849993406237,0.6652610480348732,52
G4,W0015F0001T0006Z000C1N174.png,5.91607558207181,,21
G4,W0015F0001T0006Z000C1N176.png,0.5721834003383904,0.5721834003383904,49
G4,W0015F0001T0006Z000C1N179.png,0.8210628345964588,0.8210628345964588,47
G4,W0015F0001T0006Z000C1N19.png,1.288625081881125,1.2901217846438628,46
G4,W0015F0001T0006Z000C1N192.png,7.387138695585577,,20
G4,W0015F0001T0006Z000C1N196.png,0.9054400532613951,0.9242861501907741,50
G4,W0015F0001T0006Z000C1N197.png,1.526242162364919,1.526242162364919,46
G4,W0015F0001T0006Z000C1N202.png,0.9452567976183844,1.0397562084137155,50
G4,W0015F0001T0006Z000C1N204.png,0.3956163696320033,0.3956163696320033,83
G4,W0015F0001T0006Z000C1N206.png,3.832931538050682,3.832931538050682,30
G4,W0015F0001T0006Z000C1N21.png,0.3958820700523177,0.3958820700523177,84
G4,W0015F0001T0006Z000C1N216.png,1.088498795997823,1.1615941622125994,35
G4,W0015F0001T0006Z000C1N218.png,2.557580119058626,2.5612574497893625,43
G4,W0015F0001T0006Z000C1N22.png,1.9334222958254208,1.9658788532060079,43
G4,W0015F0001T0006Z000C1N223.png,5.060103048417182,5.060103048417182,26
G4,W0015F0001T0006Z000C1N226.png,0.2158349372643608,0.2158349372643608,83
G4,W0015F0001T0006Z000C1N227.png,0.2010936145805948,0.2010936145805948,238
G4,W0015F0001T0006Z000C1N231.png,0.04986919627006261,0.04986919627006261,77
G4,W0015F0001T0006Z000C1N27.png,4.1448541491318,4.174728327058298,18
G4,W0015F0001T0006Z000C1N36.png,1.8032493598516242,1.8032493598516242,32
G4,W0015F0001T0006Z000C1N37.png,0.3442671045558193,0.3442671045558193,77
G4,W0015F0001T0006Z000C1N38.png,3.5986377214511416,3.705765497245467,29
G4,W0015F0001T0006Z000C1N43.png,2.794573041507046,2.954810890731894,28
G4,W0015F0001T0006Z000C1N44.png,1.742691370668468,1.7460907153245546,47
G4,W0015F0001T0006Z000C1N49.png,2.1570856239332112,2.5364648819651685,13
G4,W0015F0001T0006Z000C1N56.png,3.1215820468364908,3.1256916281928535,22
G4,W0015F0001T0006Z000C1N58.png,3.3417969925128213,5.023901115368035,14
G4,W0015F0001T0006Z000C1N59.png,2.7993043979956234,2.8308646777579614,24
G4,W0015F0001T0006Z000C1N64.png,0.22552167930102507,0.22552167930102507,49
G4,W0015F0001T0006Z000C1N66.png,6.753643671861013,6.764657327938879,14
G4,W0015F0001T0006Z000C1N70.png,1.1030308899725667,1.109042422417595,27
G4,W0015F0001T0006Z000C1N75.png,1.5282569834207065,1.5341850008559472,19
G4,W0015F0001T0006Z000C1N76.png,2.5953422134217456,2.7260576565762293,15
G4,W0015F0001T0006Z000C1N79.png,5.062064485764364,5.4955992326464225,14
G4,W0015F0001T0006Z000C1N82.png,2.31987301533421,2.327675364929415,26
G4,W0015F0001T0006Z000C1N84.png,3.824479848018371,3.951787412287958,16
G4,W0015F0001T0006Z000C1N89.png,2.6848142394818146,2.688684008502032,21
G4,W0015F0001T0006Z000C1N90.png,2.8212029809806283,2.865952569413815,35
G4,W0015F0001T0006Z000C1N92.png,1.342019504302438,1.3620778355284349,21
G4,W0015F0001T0006Z000C1N93.png,2.4770638033499455,4.127282396105783,33
G4,W0015F0001T0006Z000C1N94.png,1.2014571970878585,1.2021122212689377,23
G4,W0015F0002T0006Z000C1N103.png,0.32124080216942064,0.32124080216942064,146
G4,W0015F0002T0006Z000C1N104.png,14.835791512127107,,5
G4,W0015F0002T0006Z000C1N108.png,0.9124376574479789,0.9124376574479789,26
G4,W0015F0002T0006Z000C1N113.png,0.21561994283062272,0.21561994283062272,43
G4,W0015F0002T0006Z000C1N15.png,0.5708111265749648,0.5708111265749648,26
G4,W0015F0002T0006Z000C1N16.png,1.89864972582827,2.0925697351236017,35
G4,W0015F0002T0006Z000C1N18.png,1.0615518464876246,1.0934700919859828,34
G4,W0015F0002T0006Z000C1N23.png,1.2574056116955326,1.3158271896507971,41
G4,W0015F0002T0006Z000C1N26.png,0.07928388631134221,0.07928388631134221,112
G4,W0015F0002T0006Z000C1N28.png,3.096724414640875,3.096724414640875,15
G4,W0015F0002T0006Z000C1N33.png,1.04236154721361,1.126337172641762,28
G4,W0015F0002T0006Z000C1N38.png,0.4609498108997967,0.4609498108997967,64
G4,W0015F0002T0006Z000C1N41.png,0.24181857495667433,0.24181857495667433,35
G4,W0015F0002T0006Z000C1N42.png,0.18461055826426462,0.18461055826426462,59
G4,W0015F0002T0006Z000C1N47.png,0.2830333256806453,0.2830333256806453,74
G4,W0015F0002T0006Z000C1N53.png,2.172890474423132,2.1969313262048282,21
G4,W0015F0002T0006Z000C1N54.png,0.47069408119912254,0.47069408119912254,56
G4,W0015F0002T0006Z000C1N55.png,0.5184602186359182,0.5706561340432423,47
G4,W0015F0002T0006Z000C1N57.png,1.2627506954105936,1.2627506954105936,23
